    .4   8.2  17.8  25.7  36.7  50.4  70.2  77.8  84.2  90.1  97.5
    .5   9.3  18.7  27.3  37.4  49.2  64.2  71.8  78.8  85.7  95.8
    .9  10.7  20.3  27.7  35.9  46.2  56.5  63.2  70.0  79.8  93.4
   1.1  11.4  20.1  27.3  34.6  43.7  51.4  59.3  66.9  78.4  93.6
   1.6  12.3  20.0  25.7  32.6  39.5  46.2  55.1  63.3  76.0  92.8
   1.9  12.4  19.4  25.1  31.3  37.1  43.2  50.7  61.2  75.3  91.3
   2.4  12.6  18.7  23.6  28.4  34.7  40.8  50.8  59.4  74.8  90.6
   2.9  12.5  18.0  22.5  26.4  31.7  39.5  48.4  58.5  75.1  87.1
   3.4  12.5  17.1  20.7  24.6  29.8  36.8  47.1  59.9  72.1  86.6
   3.7  12.2  16.4  19.8  24.2  29.2  37.5  46.6  58.9  71.4  84.2
   4.4  12.1  15.6  18.3  21.5  26.9  34.6  47.5  58.5  71.0  85.0
   4.5  12.0  15.0  18.1  22.0  26.8  34.2  44.2  58.0  71.3  82.0
   5.1  11.8  14.5  16.9  20.2  25.4  33.6  44.5  56.9  68.9  82.0
   5.3  11.5  14.2  16.9  20.0  25.1  32.5  44.5  55.4  65.8  76.2
   5.6  11.4  13.8  16.0  19.4  23.9  32.4  44.1  52.9  62.8  70.2
   5.9  11.2  13.8  15.8  18.7  23.9  31.1  39.5  48.2  57.0  66.9
   6.2  11.1  13.4  15.5  17.5  22.0  30.0  39.3  47.1  54.6  65.9
   6.5  11.1  12.9  15.0  17.7  21.8  29.7  34.4  45.7  53.4  59.2
   6.8  10.9  12.6  14.6  17.1  21.1  28.6  36.5  43.3  49.5  53.6
   6.9  10.8  12.3  14.5  16.8  21.9  28.4  35.8  42.5  45.6  50.9
   7.3  10.5  12.2  14.0  16.4  21.1  29.8  33.6  42.2  47.5  42.8
   7.4  10.5  12.1  13.6  16.3  21.5  28.3  36.2  43.7  38.6  46.6
   7.6  10.6  11.6  13.2  15.9  21.0  28.5  37.5  37.6  36.7  49.4
   7.7  10.5  11.7  13.2  15.1  19.5  25.8  36.2  43.0  38.9  43.6
   7.9  10.4  11.6  13.2  15.1  18.6  29.1  36.3  39.3  37.8  30.2
   8.0  10.3  11.5  13.0  14.5  19.0  28.5  35.7  41.1  41.4  35.4
   8.1  10.3  11.4  12.7  15.3  18.5  27.1  33.6  36.7  40.2  28.3
   8.1  10.3  11.4  12.5  14.6  18.9  26.7  36.4  36.5  38.9  18.8
   8.2  10.3  11.4  12.6  14.8  18.5  26.8  27.7  29.0  31.4  15.3
   8.2  10.2  11.3  12.7  14.8  17.9  24.0  30.3  33.9  31.6  30.7
   8.4  10.2  11.3  12.7  14.7  18.1  22.1  26.3  29.8  31.5  36.0
   8.3  10.3  11.2  12.7  14.4  17.4  21.1  27.5  35.4  31.6  48.9
