  Updated to 2009012900
  .015  .015  .016  .024  .046  .090  .127  .135  .127  .127  .326
  .014  .015  .017  .037  .076  .129  .157  .147  .115  .093  .220
  .015  .018  .039  .077  .120  .155  .155  .125  .085  .064  .158
  .015  .015  .017  .026  .054  .100  .142  .148  .132  .121  .271
  .015  .016  .021  .045  .090  .141  .162  .143  .106  .083  .195
  .015  .019  .042  .077  .119  .156  .158  .125  .085  .061  .157
  .015  .015  .019  .032  .065  .116  .152  .150  .130  .112  .231
  .015  .016  .027  .061  .107  .150  .163  .137  .102  .074  .169
  .015  .022  .043  .083  .125  .155  .155  .124  .085  .061  .150
  .015  .015  .023  .042  .081  .130  .164  .152  .119  .097  .191
  .015  .018  .039  .078  .118  .154  .161  .128  .089  .065  .149
  .015  .021  .048  .086  .130  .156  .156  .123  .078  .056  .136
  .015  .017  .029  .056  .094  .144  .166  .147  .109  .082  .165
  .015  .022  .051  .094  .133  .160  .153  .116  .077  .057  .134
  .015  .023  .051  .094  .136  .163  .154  .117  .074  .054  .131
  .015  .021  .039  .070  .112  .151  .165  .138  .098  .071  .142
  .015  .031  .068  .111  .144  .159  .143  .104  .068  .052  .118
  .015  .025  .057  .101  .139  .159  .149  .111  .072  .052  .130
  .015  .026  .053  .087  .127  .159  .158  .125  .084  .059  .123
  .016  .041  .082  .126  .151  .158  .134  .095  .063  .047  .102
  .016  .028  .064  .112  .146  .164  .142  .102  .065  .049  .116
  .016  .033  .065  .105  .141  .161  .151  .114  .072  .050  .104
  .018  .050  .098  .140  .154  .151  .121  .084  .055  .042  .091
  .015  .032  .073  .118  .152  .160  .136  .098  .061  .046  .113
  .018  .043  .084  .119  .149  .155  .138  .100  .064  .045  .090
  .021  .066  .116  .152  .157  .141  .112  .074  .048  .039  .075
  .015  .036  .081  .125  .150  .155  .131  .091  .060  .046  .110
  .021  .055  .104  .134  .153  .152  .126  .090  .053  .041  .075
  .028  .076  .132  .161  .155  .128  .099  .066  .044  .038  .067
  .018  .040  .091  .131  .152  .146  .122  .082  .057  .046  .108
  .024  .071  .119  .151  .156  .141  .112  .075  .047  .039  .066
  .037  .097  .148  .168  .153  .119  .089  .059  .042  .035  .056
  .017  .050  .099  .138  .154  .143  .116  .078  .052  .044  .104
  .030  .087  .139  .163  .154  .130  .098  .065  .041  .034  .055
  .041  .112  .164  .173  .150  .111  .078  .051  .037  .034  .049
  .018  .057  .110  .147  .152  .138  .103  .071  .045  .044  .099
  .039  .103  .158  .170  .151  .120  .088  .061  .036  .032  .048
  .052  .129  .181  .178  .142  .101  .071  .047  .034  .031  .038
  .018  .069  .122  .151  .152  .129  .098  .065  .046  .046  .099
  .047  .122  .170  .176  .147  .109  .080  .053  .034  .030  .038
  .060  .144  .192  .177  .133  .093  .063  .042  .031  .027  .035
  .024  .073  .127  .153  .144  .118  .091  .062  .044  .045  .112
  .056  .139  .185  .178  .138  .098  .071  .048  .034  .024  .030
  .069  .162  .204  .178  .128  .083  .056  .038  .030  .025  .028
  .028  .083  .135  .157  .142  .113  .087  .057  .048  .048  .098
  .066  .158  .198  .178  .129  .086  .063  .043  .031  .023  .027
  .078  .180  .213  .177  .119  .075  .052  .034  .026  .024  .025
  .030  .093  .141  .153  .130  .105  .078  .057  .046  .046  .111
  .078  .171  .207  .176  .124  .081  .055  .040  .029  .022  .020
  .093  .194  .219  .172  .109  .069  .047  .034  .025  .022  .019
  .036  .101  .153  .158  .130  .099  .076  .056  .047  .047  .085
  .086  .187  .211  .171  .114  .072  .051  .039  .027  .022  .016
  .103  .208  .222  .168  .102  .063  .043  .031  .026  .020  .019
  .041  .107  .153  .151  .117  .095  .072  .057  .048  .051  .100
  .097  .200  .220  .168  .108  .068  .049  .036  .026  .020  .017
  .113  .223  .228  .161  .095  .060  .043  .029  .023  .017  .015
  .043  .112  .155  .150  .117  .090  .068  .055  .051  .055  .095
  .107  .213  .224  .166  .102  .061  .045  .033  .023  .019  .015
  .120  .233  .228  .159  .091  .055  .039  .029  .023  .018  .016
  .047  .120  .154  .144  .111  .083  .068  .056  .051  .056  .101
  .117  .223  .227  .163  .095  .056  .042  .032  .023  .018  .015
  .128  .241  .234  .155  .084  .047  .034  .029  .020  .016  .015
  .049  .126  .159  .141  .107  .082  .068  .059  .053  .059  .096
  .126  .235  .232  .160  .091  .054  .041  .028  .021  .016  .015
  .134  .251  .238  .153  .079  .045  .035  .027  .019  .015  .015
  .055  .133  .163  .139  .099  .075  .066  .057  .050  .056  .100
  .134  .244  .231  .153  .081  .050  .037  .027  .022  .016  .015
  .146  .262  .235  .146  .074  .040  .030  .023  .018  .015  .015
  .059  .138  .164  .135  .095  .071  .064  .054  .052  .059  .094
  .142  .254  .233  .148  .076  .046  .037  .028  .021  .016  .015
  .159  .269  .240  .143  .069  .039  .030  .023  .018  .015  .015
  .061  .137  .164  .132  .091  .071  .062  .059  .056  .061  .102
  .145  .262  .236  .142  .071  .042  .038  .027  .020  .016  .015
  .162  .279  .241  .139  .065  .037  .028  .023  .017  .015  .015
  .065  .144  .162  .123  .086  .069  .065  .060  .058  .062  .096
  .153  .270  .234  .141  .070  .042  .035  .025  .018  .016  .015
  .171  .285  .236  .136  .064  .035  .026  .019  .016  .015  .015
  .066  .144  .160  .123  .084  .068  .066  .065  .059  .059  .103
  .161  .271  .232  .138  .067  .043  .033  .024  .020  .015  .015
  .175  .289  .239  .134  .059  .033  .026  .019  .016  .015  .015
  .068  .148  .162  .123  .081  .067  .065  .061  .056  .060  .097
  .163  .281  .233  .135  .064  .038  .031  .023  .018  .015  .015
  .185  .293  .240  .128  .060  .029  .023  .018  .016  .015  .015
  .069  .147  .159  .122  .079  .069  .065  .062  .056  .062  .104
  .170  .282  .235  .133  .063  .037  .030  .022  .017  .015  .015
  .190  .299  .234  .128  .055  .029  .022  .017  .015  .015  .015
