199901  17.09  29.09  40.22  51.57  65.07 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199902  18.85  32.05  45.50  60.82  75.93 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199903  18.26  32.52  46.53  61.44  75.86 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199904  18.34  32.52  46.02  59.42  74.10 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199905  19.92  34.83  49.97  65.30  80.54 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199906  19.61  36.04  53.85  72.62  90.07 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199907  20.05  34.94  50.70  66.55  82.70 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199908  20.20  34.76  50.49  67.03  82.36 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199909  20.52  35.56  49.79  63.99  80.42 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199910  19.86  33.72  47.62  61.77  75.39 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199911  17.45  30.56  43.89  58.29  68.91 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199912  15.52  26.86  38.49  51.01  63.35 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
