199601   2.62   3.72   4.41   4.87   5.22 
199602   2.74   3.86   4.60   5.06   5.47 
199603   2.70   3.75   4.45   4.89   5.22 
199604   2.65   3.74   4.39   4.80   5.12 
199605   2.63   3.78   4.56   5.07   5.47 
199606   2.72   3.76   4.44   4.89   5.23 
199607   2.79   3.82   4.49   4.89   5.26 
199608   2.75   3.83   4.49   4.95   5.31 
199609   2.80   3.92   4.57   5.03   5.40 
199610   2.74   3.77   4.44   4.92   5.35 
199611   2.81   3.97   4.73   5.27   5.73 
199612   2.82   3.93   4.68   5.25   5.79 
