199701   1.84   2.69   3.19   3.54   3.78 
199702   1.75   2.46   2.88   3.15   3.39 
199703   1.70   2.38   2.85   3.26   3.53 
199704   1.62   2.25   2.66   2.93   3.12 
199705   1.68   2.35   2.75   3.06   3.31 
199706   1.75   2.44   2.79   3.08   3.31 
199707   1.80   2.46   2.84   3.06   3.26 
199708   1.90   2.69   3.21   3.56   3.71 
199709   1.81   2.54   2.96   3.29   3.54 
199710   1.69   2.35   2.74   2.98   3.23 
199711   1.80   2.37   2.76   3.04   3.26 
199712   1.78   2.34   2.67   2.95   3.11 
