200201   1.79   2.26   2.52   2.72   2.93 
200202   1.69   2.16   2.44   2.69   2.90 
200203   1.66   2.11   2.40   2.64   2.82 
200204   1.63   2.06   2.29   2.50   2.68 
200205   1.72   2.19   2.46   2.67   2.85 
200206   1.71   2.24   2.58   2.82   2.99 
200207   1.77   2.34   2.68   2.90   3.04 
200208   1.80   2.35   2.68   2.93   3.11 
200209   1.73   2.28   2.55   2.77   2.94 
200210   1.73   2.26   2.54   2.75   2.90 
200211   1.70   2.19   2.45   2.69   2.87 
200212   1.70   2.21   2.49   2.70   2.89 
