199701  15.27  29.11  44.87  59.84  74.92 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199702  15.16  26.64  39.66  52.63  65.52 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199703  14.97  27.83  43.11  59.10  74.77 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199704  14.77  27.45  39.97  51.96  64.71 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199705  12.86  24.10  35.55  47.56  59.58 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199706  12.63  23.04  34.49  46.09  57.03 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199707  11.20  19.41  27.59  36.82  44.94 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199708  12.14  21.11  30.63  41.00  50.57 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199709  12.74  22.71  32.54  42.51  53.73 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199710  13.52  25.40  38.89  53.81  68.23 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199711  14.30  25.69  38.59  52.33  65.78 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199712  15.24  27.94  42.36  56.80  69.80 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
