199601  15.27  28.90  43.89  58.64  74.04 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199602  15.50  28.52  41.75  55.76  70.71 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199603  14.55  27.11  40.50  55.25  70.36 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199604  13.80  24.98  36.68  49.17  61.32 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199605  12.32  22.48  33.86  46.93  60.86 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199606  11.52  20.43  30.27  40.79  50.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199607  11.34  19.11  27.58  36.77  45.77 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199608  11.45  18.96  27.70  37.02  45.55 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199609  12.39  22.49  33.47  44.47  54.89 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199610  13.40  24.80  37.14  50.11  62.62 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199611  14.50  28.22  45.75  63.54  82.92 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199612  15.39  29.44  45.21  60.70  75.54 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
