199601  19.46  32.72  46.25  57.46  68.64 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199602  18.68  31.11  44.43  57.00  69.77 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199603  21.03  36.16  52.42  67.36  80.19 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199604  21.34  36.77  53.57  69.96  83.73 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199605  24.00  43.78  63.77  82.22  99.48 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199606  23.04  40.69  57.25  75.01  89.23 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199607  23.64  42.55  58.85  74.98  91.92 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199608  23.51  41.34  58.96  76.26  91.37 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199609  23.41  41.60  57.41  73.37  89.09 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199610  21.40  36.06  51.13  65.91  79.67 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199611  21.35  36.82  50.29  62.65  74.75 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199612  20.37  33.51  45.48  57.73  70.30 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
