199801   2.85   4.39   5.35   6.11   6.79 
199802   2.71   4.15   5.30   6.23   7.02 
199803   2.91   4.21   5.16   5.82   6.41 
199804   2.88   4.27   5.29   6.04   6.58 
199805   3.17   4.79   5.95   6.85   7.80 
199806   3.05   4.71   5.83   6.56   7.20 
199807   2.45   4.19   5.38   6.18   6.95 
199808   2.35   4.07   5.36   6.15   6.78 
199809   2.46   4.19   5.53   6.40   7.08 
199810   3.12   4.76   5.97   6.84   7.54 
199811   3.34   4.81   5.75   6.55   7.25 
199812   3.35   4.92   6.09   6.95   7.58 
