200101   1.95   2.67   3.18   3.60   3.86 
200102   2.06   2.76   3.29   3.71   4.08 
200103   2.04   2.84   3.36   3.76   4.08 
200104   1.94   2.67   3.13   3.49   3.77 
200105   1.85   2.49   3.01   3.34   3.74 
200106   1.83   2.43   2.92   3.17   3.44 
200107   1.87   2.55   3.01   3.33   3.61 
200108   1.92   2.61   3.11   3.45   3.80 
200109   1.88   2.61   3.03   3.38   3.67 
200110   1.77   2.41   2.84   3.18   3.45 
200111   1.74   2.35   2.72   3.06   3.36 
200112   1.93   2.53   2.90   3.21   3.50 
