200401   3.18   4.36   5.07   5.68   6.27 
200402   3.22   4.60   5.46   6.09   6.59 
200403   3.13   4.52   5.34   5.99   6.56 
200404   2.97   4.23   5.01   5.59   6.14 
200405   3.07   4.34   5.14   5.67   6.11 
200406   3.21   4.44   5.18   5.72   6.29 
200407   3.08   4.25   5.02   5.52   5.99 
200408   3.25   4.58   5.41   5.93   6.40 
200409   2.96   4.19   4.96   5.37   5.78 
200410   2.75   3.85   4.55   5.14   5.60 
200411   2.77   3.89   4.53   5.04   5.48 
200412   3.02   4.21   4.87   5.30   5.67 
