2003spr 0.9784 0.9747 0.9739  21.10  22.25  22.24  23.44 0.9709 0.9661 0.9510  24.50  26.46  32.03  48.04 
2003sum 0.9744 0.9695 0.9693  15.97  16.76  16.72  16.41 0.9725 0.9680 0.9651  26.64  28.61  29.83  37.50 
2003fal 0.9805 0.9776 0.9770  20.05  20.59  20.81  22.77 0.9716 0.9677 0.9639  24.15  25.86  27.23  34.72 
0304win 0.9742 0.9720 0.9715  24.69  25.32  25.20  25.90 0.9700 0.9670 0.9602  21.25  22.46  24.55  35.62 
2000sum 0.9168 0.9091 0.9042  27.14  28.75  29.38  28.37 0.9114 0.9062 0.8749  45.91  47.27  53.62  67.91 
2000fal 0.9210 0.9158 0.9107  33.96  34.94  35.87  37.29 0.9002 0.8973 0.8359  42.75  43.53  53.04  71.16 
0001win 0.9278 0.9251 0.9290  38.57  39.07  38.10  36.05 0.8949 0.8896 0.8669  38.30  39.64  42.38  56.75 
2001spr 0.9296 0.9258 0.9288  33.51  33.97  33.05  30.38 0.9115 0.9074 0.8904  42.55  43.48  46.56  59.09 
2001sum 0.9336 0.9322 0.9317  24.86  25.00  24.73  23.48 0.9193 0.9124 0.8945  43.90  45.28  49.40  62.03 
2001fal 0.9434 0.9404 0.9387  31.28  31.49  31.58  31.63 0.9144 0.9103 0.8841  40.96  41.50  45.84  56.69 
0102win 0.9446 0.9416 0.9405  37.18  37.24  37.07  37.29 0.9232 0.9162 0.8922  35.02  36.34  40.26  54.43 
2002spr 0.9413 0.9382 0.9377  32.59  32.77  32.51  33.42 0.9292 0.9222 0.8867  41.70  43.17  50.74  65.22 
2002sum 0.9351 0.9278 0.9264  25.02  25.75  25.67  24.68 0.9262 0.9222 0.8910  44.31  44.89  52.21  66.60 
2002fal 0.9446 0.9408 0.9411  31.49  31.88  31.57  31.81 0.9312 0.9245 0.8962  37.80  39.42  45.73  61.92 
0203win 0.9479 0.9429 0.9412  36.12  36.74  36.94  36.74 0.9299 0.9219 0.8983  32.13  34.10  38.87  52.24 
2003spr 0.9472 0.9415 0.9421  31.33  32.39  31.87  29.81 0.9310 0.9208 0.8954  37.38  39.83  45.63  55.17 
2003sum 0.9379 0.9300 0.9320  23.60  24.55  24.04  21.17 0.9360 0.9281 0.9272  40.67  42.46  42.49  44.43 
2003fal 0.9519 0.9475 0.9477  30.59  31.23  31.06  30.32 0.9364 0.9278 0.9231  35.59  37.70  38.56  41.01 
0304win 0.9385 0.9344 0.9358  36.94  37.77  36.94  33.34 0.9341 0.9309 0.9220  31.27  32.16  33.97  41.34 
2000sum 0.8404 0.8317 0.8297  37.20  38.53  38.16  33.05 0.8408 0.8367 0.8035  61.51  61.74  65.77  73.51 
2000fal 0.8485 0.8422 0.8398  47.15  47.75  47.52  43.58 0.8224 0.8208 0.7476  56.40  56.30  63.45  75.13 
0001win 0.8662 0.8603 0.8716  52.59  53.10  50.52  42.75 0.8161 0.8075 0.7900  50.95  52.24  52.56  61.66 
2001spr 0.8553 0.8532 0.8647  47.25  47.13  44.53  36.77 0.8420 0.8365 0.8200  57.07  57.87  58.96  65.01 
2001sum 0.8671 0.8693 0.8727  34.68  34.94  33.88  28.11 0.8522 0.8433 0.8232  59.04  60.27  62.57  67.33 
2001fal 0.8884 0.8848 0.8838  43.53  43.79  43.30  38.94 0.8536 0.8485 0.8180  53.08  53.76  56.88  61.92 
0102win 0.8875 0.8850 0.8860  51.74  51.56  50.49  44.39 0.8627 0.8532 0.8247  46.91  48.47  50.96  59.84 
2002spr 0.8784 0.8757 0.8772  45.48  45.51  44.50  40.22 0.8724 0.8654 0.8190  55.99  57.14  63.44  70.89 
2002sum 0.8675 0.8575 0.8600  35.14  36.09  35.20  29.53 0.8608 0.8581 0.8269  59.91  59.87  64.47  71.74 
2002fal 0.8916 0.8855 0.8902  43.91  44.59  43.18  39.06 0.8720 0.8615 0.8280  50.93  52.67  57.65  66.35 
0203win 0.8945 0.8885 0.8899  50.53  50.86  49.87  43.82 0.8716 0.8578 0.8298  43.20  45.41  49.04  56.43 
2003spr 0.8925 0.8850 0.8897  43.35  44.40  42.94  36.05 0.8697 0.8538 0.8244  50.90  53.69  57.89  61.20 
2003sum 0.8757 0.8687 0.8749  33.00  33.62  32.40  25.55 0.8768 0.8673 0.8732  56.63  57.85  55.77  51.28 
2003fal 0.8989 0.8920 0.8972  44.24  44.82  43.26  37.75 0.8801 0.8677 0.8627  48.23  50.36  50.41  47.13 
0304win 0.8831 0.8779 0.8858  50.31  51.01  48.55  40.80 0.8750 0.8721 0.8658  42.82  43.34  44.02  46.29 
2000sum 0.7306 0.7273 0.7319  47.53  47.99  46.00  37.58 0.7439 0.7442 0.7227  78.14  77.07  76.52  79.20 
2000fal 0.7558 0.7497 0.7554  60.60  60.61  58.06  49.92 0.7196 0.7190 0.6578  70.83  69.83  71.56  78.45 
