200207 0.7505 0.7475 0.7601  46.15  45.94  43.51  32.96 0.7715 0.7764 0.7607  76.61  75.01  73.94  74.73 
200208 0.7895 0.7841 0.7930  45.33  45.66  43.47  33.70 0.7972 0.7992 0.8124  73.14  72.30  69.15  72.68 
200209 0.7944 0.7859 0.8113  53.74  54.57  50.54  43.22 0.7711 0.7557 0.7186  72.93  74.91  76.64  72.12 
200210 0.8245 0.8175 0.8323  57.47  57.84  54.42  46.82 0.7725 0.7581 0.7451  65.96  67.24  67.11  70.74 
200211 0.8056 0.8032 0.8101  63.22  62.98  60.28  48.61 0.8148 0.7949 0.7661  57.13  59.17  62.60  65.57 
200212 0.8176 0.8102 0.8135  66.35  65.85  63.30  48.57 0.7951 0.7824 0.7761  53.95  55.83  56.11  58.15 
200301 0.8393 0.8367 0.8461  63.52  63.01  60.73  47.67 0.7954 0.7774 0.7486  50.16  52.28  53.49  57.09 
200302 0.8145 0.8075 0.8193  65.18  65.16  61.48  54.47 0.7915 0.7604 0.7318  59.29  62.24  63.72  62.81 
200303 0.8130 0.7992 0.8160  61.47  63.76  59.62  47.12 0.7699 0.7600 0.6999  62.09  63.29  68.55  70.59 
200304 0.8426 0.8281 0.8360  54.23  56.27  54.34  41.79 0.8026 0.7893 0.7512  67.60  69.52  73.30  72.17 
200305 0.8109 0.8085 0.8200  48.47  48.43  46.09  36.92 0.7818 0.7671 0.7807  66.57  68.65  65.25  55.75 
200306 0.7891 0.7953 0.8034  43.63  42.51  40.89  30.60 0.8136 0.8126 0.8230  72.01  71.33  67.45  63.97 
200307 0.7941 0.7890 0.7997  41.21  41.80  39.82  27.47 0.7631 0.7558 0.7812  75.50  75.09  69.34  56.77 
200308 0.7904 0.7899 0.8082  43.36  43.30  40.78  30.80 0.8132 0.7981 0.8190  70.19  71.46  66.19  51.54 
200309 0.7935 0.7824 0.8135  55.55  55.72  50.17  39.13 0.8204 0.7980 0.8002  64.51  68.10  65.89  54.44 
200310 0.8344 0.8247 0.8457  60.55  61.68  56.97  45.89 0.8013 0.7914 0.7907  62.37  62.72  61.49  51.61 
200311 0.8243 0.8232 0.8247  62.16  61.49  59.39  49.72 0.7862 0.7713 0.7664  57.27  59.08  57.59  51.81 
200312 0.8026 0.7954 0.8106  64.06  64.27  60.57  46.77 0.7759 0.7726 0.7653  54.32  54.54  53.70  53.26 
200401 0.7950 0.7970 0.8174  65.60  64.16  59.33  47.26 0.7822 0.7798 0.7940  54.00  54.19  52.49  47.46 
200402 0.8257 0.8274 0.8374  64.13  62.86  59.37  49.27 0.7668 0.7795 0.7904  62.84  61.08  58.92  49.54 
200403 0.8092 0.8061 0.8049  65.38  65.33  63.52  49.68 0.8134 0.8073 0.8110  60.80  61.82  59.95  52.33 
200404 0.8184 0.8217 0.8258  54.66  53.95  51.90  47.29 0.7823 0.7851 0.8001  70.20  69.32  65.20  60.26 
200405 0.8301 0.8252 0.8490  44.73  45.23  41.37  39.19 0.8219 0.8243 0.8416  68.02  67.36  62.19  61.68 
200406 0.7871 0.7824 0.8168  44.94  45.38  40.55  35.72 0.7587 0.7701 0.7902  76.59  74.81  68.20  67.71 
200407 0.8213 0.8179 0.8460  39.29  39.54  35.52  30.93 0.7536 0.7533 0.7931  76.20  75.92  66.53  62.17 
200408 0.8111 0.8121 0.8236  43.72  43.61  40.93  37.13 0.7491 0.7371 0.7610  81.23  82.08  74.66  64.25 
200409 0.7721 0.7694 0.7817  50.43  50.73  47.31  42.22 0.7812 0.7862 0.7978  70.46  69.48  65.42  53.78 
200410 0.7951 0.7998 0.8124  58.83  58.02  54.05  48.48 0.8146 0.8140 0.8141  58.71  59.10  57.38  56.66 
200411 0.8244 0.8185 0.8242  58.22  59.01  55.94  53.75 0.8593 0.8534 0.8640  53.76  54.88  52.28  49.37 
200412 0.8372 0.8381 0.8440  63.56  63.20  60.38  52.82 0.7913 0.7961 0.7846  53.42  53.25  53.04  54.11 
200501 0.8354 0.8277 0.8383  64.91  65.87  62.40  53.41 0.8230 0.8148 0.8209  53.31  54.55  52.44  43.84 
200502 0.8623 0.8542 0.8581  57.98  59.29  57.00  47.59 0.7644 0.7616 0.7841  60.10  60.83  56.83  45.95 
200503 0.8587 0.8590 0.8783  56.11  55.74  50.50  45.15 0.8035 0.7895 0.7981  60.90  62.82  59.54  51.55 
200504 0.8404 0.8437 0.8534  51.34  50.70  48.15  43.12 0.7700 0.7642 0.7689  71.39  72.43  68.63  58.43 
200505 0.7785 0.7783 0.8121  50.28  49.98  44.94  38.06 0.8176 0.8123 0.8262  71.62  72.60  67.47  65.28 
200506 0.7677 0.7720 0.7963  43.63  43.15  39.64  33.12 0.8013 0.7860 0.8252  71.97  74.09  66.39  63.01 
200507 0.7771 0.7913 0.8135  39.09  38.02  34.82  31.25 0.7739 0.7593 0.7771  75.46  77.15  70.49  63.51 
200508 0.7903 0.7916 0.8089  41.87  41.54  38.62  34.47 0.8174 0.7994 0.8263  70.18  72.87  66.13  50.76 
200509 0.7737 0.7662 0.8037  49.32  50.21  44.75  37.44 0.8009 0.7948 0.8277  69.55  69.86  62.98  50.27 
200510 0.8558 0.8484 0.8724  52.28  52.97  47.96  42.28 0.8327 0.8162 0.8435  61.31  63.44  58.20  44.74 
200511 0.8547 0.8545 0.8698  57.58  57.83  53.49  47.60 0.7936 0.7863 0.8128  57.60  58.67  54.11  45.30 
200512 0.8722 0.8661 0.8746  55.16  56.27  53.29  46.29 0.8540 0.8549 0.8801  49.73  50.02  44.68  41.84 
200601 0.8581 0.8514 0.8773  57.94  58.98  52.92  44.77 0.7931 0.7924 0.8057  53.30  52.95  49.68  42.84 
200602 0.8761 0.8689 0.8901  57.62  59.30  53.46  46.03 0.8352 0.8343 0.8548  54.76  54.49  50.49  46.87 
200603 0.8249 0.8211 0.8504  57.31  58.28  52.23  43.07 0.7617 0.7498 0.7778  62.11  63.92  57.83  48.01 
200604 0.8655 0.8674 0.8783  46.91  46.76  43.78  36.88 0.8233 0.8128 0.8396  64.04  64.99  59.02  52.69 
200605 0.8508 0.8422 0.8779  46.53  47.41  41.74  37.51 0.7819 0.7844 0.8138  75.00  73.97  66.74  54.04 
200606 0.7978 0.7931 0.8315  41.74  42.41  37.30  32.07 0.8071 0.8021 0.8364  69.34  69.91  62.57  50.14 
